table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,
AL,4799918,4815960
AK,722713,731089
AZ,6467163,6549634
AR,2939493,2950685
CA,37676861,38011074
CO,5118360,5189867
CT,3589893,3593795
DE,907924,916993
DC,620477,635327
FL,19096952,19344156
GA,9811610,9914668
HI,1377864,1391820
ID,1584143,1595911
IL,12860012,12870798
IN,6516480,6537743
IA,3065223,3076310
KS,2869503,2885262
KY,4369354,4384799
LA,4575404,4603429
ME,1328231,1328895
MD,5843603,5889651
MA,6611923,6658008
MI,9876213,9887238
MN,5348562,5380285
MS,2978162,2984945
MO,6010717,6025415
MT,997821,1005196
NE,1842283,1855725
NV,2718379,2752565
NH,1318473,1321182
NJ,8841243,8873211
NM,2077756,2083784
NY,19519529,19602769
NC,9650963,9746175
ND,685476,702087
OH,11544824,11550839
OK,3786274,3817054
OR,3868031,3899116
PA,12744293,12771854
RI,1052451,1052901
SC,4672637,4720760
SD,824398,834441
TN,6397634,6454306
TX,25646389,26071655
UT,2816124,2855782
VT,626730,626444
VA,8110035,8192048
WA,6822520,6895226
WV,1854972,1856560
WI,5709640,5726177
WY,567725,576765
